2026-01-16 13:23:25 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:25 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:25 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:25 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:25 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:25 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:26 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:26 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:26 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:26 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:27 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:27 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:28 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:28 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:28 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:28 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:28 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:28 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:29 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:29 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:29 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:29 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:29 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:29 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:30 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:30 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:30 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:30 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
